Manufacture_SKU_UPC,Product_Type,Post_Status,image_logo,image_main,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_console,Commercial_Level,Category,Category_Sub,Category_Sub_Sub,Category_Sub_Sub_Sub,Manufacture,Product_Name,Pricing_Cost,Pricing_MSPR,Pricing_MAP,Pricing_Special,Pricing_Special_Start_Date,Pricing_Special_End_Date,Short_Description,Overveiw,Footprint_Length,x_1,Footprint_Width,x_2,Footprint_Height,Footprint_Active_Length,x_3,Footprint_Active_Width,x_4,Footprint_Active_Height,Footprint_UOM,Machine_Weight,Machine_Weight_UOM,Elliptical_Stride_Length_Adjustable_Stride_(Yes/No),Elliptical_Stride_Length_Min,Elliptical_Stride_Length_Max,Elliptical_Stride_Length_Adjusting_Increments,Elliptical_Stride_UOM,Elliptical_Stride_Length_Type_of_Adjusting,Elliptical_Ramp_Adjustable_(Yes/No),Elliptical_Ramp_Min_Angle,Elliptical_Ramp_Max_Angle,Elliptical_Ramp_Type_of_Adjustment,Elliptical_Ramp_#_of_Adjustments,Max_User_Weight,Max_User_Weight_,Plug-in,Elliptical_Drive_System,Resistance_Type,Resistance_Levels_Quantity,Heart_Rate_Contact,Heart_Rate_Monitoring_Wireless,Elliptical_Design_(Step_In/On)_,Elliptical_Hand_Grips_Muilti_Position,Warranty_Frame_In_Years,Warranty_Parts_In_Years,Warranty_Labor_In_Year,Warranty_Treadmill_Motor,Warranty_Restrictions,Console_Type,Console_Programs,Console_Programs_User,Console_Programs_Heart_Rate_Controled,Brochure,Manual,Treadmill_Belt_Width,Treadmill_Belt_Length,Treadmill_Belt_UOM,Treadmill_Belt_Type,Treadmill_Roller_Size,Treadmill_Roller_Size_UOM,Treadmill_Deck_Thickness,Treadmill_Deck_Phenolic_Coating,Treadmill_Deck_Need_Lubercation,Treadmill_Deck_Reversibility,Treadmill_Sidestep_Rails,Treadmill_Motor_Type,Treadmill_Motor_Horse_Power,Treadmill_Deck_Adjustable_Softness,Treadmill_Speed_Min,Treadmill_Speed_Max,Treadmill_Speed_Adjustment,Treadmill_Ramp_Incline,Treadmill_Ramp_Decline,Treadmill_Ramp_Min,Treadmill_Ramp_Max_,Treadmill_Ramp_Change_Amount,Recumbent_Bike_Design,Recumbent_Bike_Seat_Back_Adjustable,Recumbent_Bike_Seat_Back_Type,Recumbent_Bike_Seat_Back_#_of_Position,Rower_Seat_Travel,Rower_Pull_Cable,Spin_Bike_Handle_Bars_Mutiposition,Spin_Bike_Fly_Wheel_Weight,Spin_Bike_Fly_Wheel_Weight_UOM,Spin_Bike_Fly_Wheel_Primiter_Weighted,Spin_Bike_Belt_System,Gym_Weight_Stack,Gym_Weight_Stack_UOM,Shipping_Wieght,Shipping_Length,Shipping_Width,Shipping_Height,Up-Sells_SKU,Cross-Sells_SKU,Download_&_Import_Attachments,Post_Author,Post_Slug,Manage_Stock?,Stock_Qty,Stock_Status,Allow_Backorders?,Sold_Individually?,Enable_Reviews,Featured,Catalog_Visibility,Tax_Status,Tax_Class
THE ABS BENCH X2,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/abs-bench-x2-final.jpg,http://theabscompany.com/wp-content/uploads/2015/08/IMG_3058-rev.jpg,http://theabscompany.com/wp-content/uploads/2015/08/IMG_3056-rev.jpg,,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,THE ABS BENCH X2,749,"$1,499.00","$1,199.00",,,,,The Abs Bench X2 is designed with dual pivot motion to naturally perform a double-crunch exercise using both a forward-crunch movement and a reverse-crunch movement. The forward crunch and reverse crunch can be performed separately or simultaneously for an innovative abdominal workout. The Abs Bench X2 is the only commercial-quality abdominal bench that works both the upper and lower abs at the same time. Integrated weight horns on the upper and lower parts of the machine allow users to add and vary the resistance level for the forward- and reverse-crunch movements for a more challenging workout. The ergonomically-angled pads and foot pegs provide superior comfort and stabilization regardless of exerciser’s size.,82,x,36,x,41,82,x,36,x,41,in.,175,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
VERTICAL CRUCH,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/09/vertical-crunch-final.jpg,http://theabscompany.com/wp-content/uploads/2015/08/vertical-crunch-7.jpg,http://theabscompany.com/wp-content/uploads/2015/08/vertical-crunch-the-abs-company.jpg,http://theabscompany.com/wp-content/uploads/2015/08/total-ab-workout-vertical-crunch.jpg,http://theabscompany.com/wp-content/uploads/2015/08/vertical-crunch-8.jpg,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,VERTICAL CRUNCH ,999,"$1,999.00","$1,899.00",,,,,The Vertical Crunch is a complete Core Training machine in a space saving design. The linkage system allows beginners to easily sit and perform an effective crunch motion. Advanced users can add plate loaded resistance for a progressive workout. The Vertical Crunch is designed with a free-swivel seat allows the user to seamlessly shift to oblique training for a complete workout,36,x,42,x,63,36,x,42,x,63,in.,195,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
ABSOLO,simple,publish,http://clubindustry.com/site-files/clubindustry.com/files/imagecache/large_img/uploads/2016/01/abs-company-press-release.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-solo-new.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-solo-core-workout.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-solo-4.jpg,http://theabscompany.com/wp-content/uploads/2015/08/ab-solo-target-touch.jpg,,,,,,,,,Light Commercial,Strength,Abs,,,Ab Coaster,ABSOLO,1249,"$2,499.00","$1,999.00",,,,,The Ab Solo is a fun and effective abdominal exercise machine that keeps users excited about working their core and abdominal muscles with a patented ball return design. The all-new Ab Solo features a sleek design with a smaller footprint and quieter performance than the original. The new Ab Solo also features 3 “touch targets” for more training variety and an innovative air-filled bumper seat for an effective core workout.,84,x,41,x,70,84,x,41,x,70,in.,275,lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
OC06,simple,publish,,http://www.BodySolid.com/images/products/OC06/600/OC06_HERO.png,http://www.BodySolid.com/images/products/OC06/600/OC06_Hero02.png,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,Bar Collar,Body-Solid,Olympic Spring Collar,,$6.00,$6.00,,,,,Made of the highest quality spring steel possible these collars allow users super-fast weight plate changes,4,,4.25,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
RC0616,simple,publish,,http://www.BodySolid.com/images/products/RC0616/600/RC0616_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,collars,Body-Solid,1 inch Spring Collar- Standard (Pair),,$7.00,$7.00,,,,,Heavy-duty spring steel squeeze-on collar with comfortable black plastic sleeves. Perfect fit on all standard bars,3.75,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
BSTJR1,simple,publish,,http://www.BodySolid.com/images/products/BSTJR1/600/BSTJR_HERO1.png,,,,,,,,,,,,Light Commercial,Other Equipment,,,,Body-Solid,Body-Solid Speed Jump Rope,,$8.00,$8.00,,,,,,131,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
OC04,simple,publish,,http://www.BodySolid.com/images/products/OC04/600/OC04_Single_600.png,http://www.BodySolid.com/images/products/OC04/600/OC04_Pair_600.png,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,Bar Collar,Body-Solid,Olympic Training Collar,,$10.00,$10.00,,,,,Lock plates tight to avoid weight slippage. Solid steel construction with triple chrome plated finish,5.5,,1.5,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SDA14,simple,publish,,http://www.BodySolid.com/images/products/SDA14/600/SDA14_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,,Body-Solid,Solid Dumbbell Handle,,$13.00,$13.00,,,,,Drop-forged from one piece of solid steel,14,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
BSTAB1,simple,publish,,http://www.BodySolid.com/images/products/BSTAB1/600/BSTAB1.png,http://www.BodySolid.com/images/products/BSTAB1/600/BSTAB1_Usage.png,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Accessories,,Body-Solid,Ab Wheel,,$15.00,$15.00,,,,,Tone & strengthen abdominal arm and shoulder muscles.,10,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
MB501,simple,publish,,http://www.BodySolid.com/images/products/MB501/600/MB501.png,,,,,,,,,,,,Light Commercial,Strength,Accessories,Cable Attachments,,Body-Solid,Stirrup Handle,,$15.00,$15.00,,,,,Designed to isolate your Biceps.,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
OA8,simple,publish,,http://www.BodySolid.com/images/products/OA8/600/OA8_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,Bar sleeve,Body-Solid,Olympic Adapter Sleeve - 8 Inch,,$15.00,$15.00,,,,,"Converts 1"" standard plate posts to 2"" Olympic posts",9,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SDA14T,simple,publish,,http://www.BodySolid.com/images/products/SDA14T/600/SDA14T_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,,Body-Solid,Threaded Dumbbell Handle,,$15.00,$15.00,,,,,Threaded Solid Steel Dumbbell Handles feature solid heavily chromed steel with deep threads for safety and durability,14.5,,2.75,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
WSA5,simple,publish,,http://www.BodySolid.com/images/products/WSA5/600/WSA5_HERO.png,,,,,,,,,,,,Light Commercial,Strength,Accessories,Cable Attachments,,Body-Solid,5 Lb. Weight Stack Adapter Plate,,$15.00,$15.00,,,,,For use on any machine weight stack. Allows you to increase resistance in 2.5 or 5 lb. increments,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
MA105,simple,publish,,http://www.BodySolid.com/images/products/MA105/600/MA105_Ex_Squat02.png,http://www.BodySolid.com/images/products/MA105/600/MA105_Ex_Squat01.png,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Bars,,Body-Solid,Bar Pad,,$16.00,$16.00,,,,,Takes the burden off your shoulders and allows you to work with heavier weights,15.5,,3.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
NB51,simple,publish,,http://www.BodySolid.com/images/products/NB51/600/NB51_Hero.png,,,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Accessories,,Body-Solid,Nylon Wrist Wraps,,$16.00,$16.00,,,,,Looking for that extra edge in your workouts? Wrist Wraps offer unequaled strength support and comfort,8,,2.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
NB52,simple,publish,,http://www.BodySolid.com/images/products/NB52/600/NB52_Ex_Shrugs1.png,http://www.BodySolid.com/images/products/NB52/600/NB52_Hero.png,http://www.BodySolid.com/images/products/NB52/600/NB52_Ex_Shrugs.png,,,,,,,,,,Light Commercial,Strength,Free Weight Equipment,Accessories,,Body-Solid,Power Lifting Straps,,$16.00,$16.00,,,,,Take the burden off your fingers and transfer the weight directly to the places you want it most,10.23,,3.54,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
